,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2008-05-05,62.70000076293945,62.70000076293945,62.70000076293945,62.70000076293945,0.0,62.70000076293945,1713.0,0.0,632.0,15126.0,14045.0,488.0,457.0,114.0,2841.0,3184.0,149499.0,161784.0,1.0821672240802676,,,
2008-05-06,63.040000915527344,63.040000915527344,63.040000915527344,63.040000915527344,0.0,63.040000915527344,724.0,0.0,550.0,15300.0,15126.0,473.0,162.0,115.0,2794.0,2841.0,150075.0,162581.0,1.0833244489458673,,,
2008-05-07,63.40999984741211,63.40999984741211,63.40999984741211,63.40999984741211,0.0,63.40999984741211,329.0,0.0,846.0,14783.0,15300.0,257.0,218.0,223.0,2799.0,2794.0,150842.0,162826.0,1.079440212671453,,,
2008-05-08,62.720001220703125,62.720001220703125,62.720001220703125,62.720001220703125,0.0,62.720001220703125,1365.0,0.0,184.0,15964.0,14783.0,163.0,302.0,26.0,2522.0,2799.0,149661.0,163103.0,1.0898090363619355,,,
2008-05-09,62.08000183105469,62.08000183105469,62.08000183105469,62.08000183105469,0.0,62.08000183105469,535.0,0.0,397.0,16102.0,15964.0,163.0,252.0,185.0,2455.0,2522.0,149148.0,162795.0,1.0914924002172324,,,
2008-05-12,62.529998779296875,62.529998779296875,62.529998779296875,62.529998779296875,0.0,62.529998779296875,376.0,12.0,666.0,15800.0,16102.0,227.0,106.0,123.0,2420.0,2455.0,151200.0,164580.0,1.0884848645180918,,,
2008-05-13,63.869998931884766,63.869998931884766,63.869998931884766,63.869998931884766,0.0,63.869998931884766,295.0,2.0,1622.0,14471.0,15800.0,193.0,162.0,252.0,2510.0,2420.0,152529.0,164490.0,1.078410804431915,,,
2008-05-14,64.05000305175781,64.05000305175781,64.05000305175781,64.05000305175781,0.0,64.05000305175781,264.0,550.0,1025.0,13160.0,14471.0,192.0,58.0,157.0,2609.0,2510.0,153465.0,164016.0,1.068744868570237,,,
2008-05-15,65.04000091552734,65.04000091552734,65.04000091552734,65.04000091552734,0.0,65.04000091552734,343.0,0.0,1229.0,12274.0,13160.0,105.0,95.0,327.0,2841.0,2609.0,154476.0,163909.0,1.0610576331751653,,,
2008-05-16,65.27999877929688,65.27999877929688,65.27999877929688,65.27999877929688,0.0,65.27999877929688,401.0,0.0,990.0,11685.0,12274.0,196.0,210.0,190.0,2821.0,2841.0,148690.0,157554.0,1.0596068356524604,,,
2008-05-19,65.77999877929688,65.77999877929688,65.77999877929688,65.77999877929688,0.0,65.77999877929688,384.0,0.0,653.0,11416.0,11685.0,140.0,180.0,91.0,2732.0,2821.0,148334.0,157018.0,1.0585364209390906,,,
2008-05-20,64.05000305175781,64.05000305175781,64.05000305175781,64.05000305175781,0.0,64.05000305175781,1393.0,0.0,1050.0,11759.0,11416.0,399.0,235.0,267.0,2764.0,2732.0,148491.0,157486.0,1.0605689195377528,,,
2008-05-21,63.43000030517578,63.43000030517578,63.43000030517578,63.43000030517578,0.0,63.43000030517578,624.0,0.0,340.0,12043.0,11759.0,217.0,380.0,330.0,2711.0,2764.0,148207.0,157539.0,1.062958814638886,,,
2008-05-22,63.439998626708984,63.439998626708984,63.439998626708984,63.439998626708984,0.0,63.439998626708984,957.0,49.0,329.0,12622.0,12043.0,271.0,326.0,255.0,2640.0,2711.0,149003.0,158985.0,1.0669847789321092,,,
2008-05-23,62.22999954223633,62.22999954223633,62.22999954223633,62.22999954223633,0.0,62.22999954223633,1415.0,3.0,554.0,13480.0,12622.0,206.0,141.0,335.0,2834.0,2640.0,148520.0,159166.0,1.0716733660559785,,,
2008-05-26,61.630001068115234,61.630001068115234,61.630001068115234,61.630001068115234,0.0,61.630001068115234,1118.0,0.0,321.0,14277.0,13480.0,324.0,634.0,267.0,2467.0,2834.0,149473.0,161283.0,1.0790037063301978,,,
2008-05-27,62.13999938964844,62.13999938964844,62.13999938964844,62.13999938964844,0.0,62.13999938964844,252.0,10.0,374.0,14145.0,14277.0,154.0,203.0,296.0,2560.0,2467.0,150230.0,161815.0,1.0771079204691443,,,
2008-05-28,61.54999923706055,61.54999923706055,61.54999923706055,61.54999923706055,0.0,61.54999923706055,517.0,0.0,327.0,14335.0,14145.0,263.0,150.0,462.0,2869.0,2557.0,150165.0,161631.0,1.0763488406163846,,,
2008-05-29,61.88999938964844,61.88999938964844,61.88999938964844,61.88999938964844,0.0,61.88999938964844,238.0,0.0,788.0,13785.0,14335.0,118.0,115.0,435.0,3189.0,2869.0,150840.0,161436.0,1.070239523736915,,,
2008-05-30,61.72999954223633,61.72999954223633,61.72999954223633,61.72999954223633,0.0,61.72999954223633,587.0,2.0,410.0,13960.0,13785.0,269.0,417.0,341.0,3113.0,3189.0,151540.0,162387.0,1.0715713899208794,,,
